500 1500 2000 25000 50000 30000 20500 0 1500 2500 350000 0 0 500 1000 2500 35000 10000 37500 75000 75000 75000 0 75000 75000 0 50000 50500
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
22500 100000 75000 75000 75000 75000 70000 0 87500 49000 75000 75000 75000 75000 29000 7000 24000 10000 27500 75000 75000 75000 75000 75000 75000 0 75000 75000
DINA4 MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 null MOD4 MOD1 MOD2 MOD2 MOD2 MOD3 MOD1 MOD2 MOD3 MOD4 DINA4 MOD3 MOD1 MOD1 MOD2 MOD1 MOD1 MOD2 MOD1 MOD1
